MT;ACTION;TPS;DEBUT;FIN;EQUIPE;JOUEURS;PHASE;DEF;SURNOMBRE;RESULTAT;SECTEUR;COURSE;TIR;IMPACT;GOAL;PIVOT;ENCLENCHEMENT;Tireur.arret;Buteur;Passeur;But.encaisse;Arret;Gardien.HC;Tireur.HC;Neutraliseur;Neutralisation.Subie;Intercepteur;Passeur.Intercepte;Contreur;Tireur.contre;Faute;Perte.Balle;Penalty.Obtenu;Penalty.Concede;Match;Equipe.en.defense
1;CESSON 001;10.4;10.4;42.8;CESSON;11-SYLVAIN HOCHET | 17-FLORIAN DELECROIX | 81-MIROSLAV KOCIC;AP;6-0;NA;BUT;9G;EXT;SUSP;BC;AU TRAVERS;1-2 D;YAGO D;NA;17-FLORIAN DELECROIX;11-SYLVAIN HOCHET;81-MIROSLAV KOCIC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;SARAN 001;52.5;52.5;74.2;SARAN;68-QUENTIN EYMANN | 16-KEVIN BONNEFOI;AP;6-0;NA;ARRET;9D;INT;SUSP;HD;NA;1-2 D;X AD ARD;68-QUENTIN EYMANN;NA;NA;NA;16-KEVIN BONNEFOI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;CESSON
1;CESSON 002;75.3;75.3;84.8;CESSON;27-JEAN JACQUES ACQUEVILLO | 11-SYLVAIN HOCHET;MB;6-0;NA;N;9G;INT;NA;NA;NA;NA;1C1;NA;NA;NA;NA;NA;NA;NA;27-JEAN JACQUES ACQUEVILLO;11-SYLVAIN HOCHET;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;CESSON 003;87;87;107.3;CESSON;17-FLORIAN DELECROIX | 81-MIROSLAV KOCIC;AP;6-0;NA;ARRET;9G;EXT;SUSP;MC;NA;1-2 D;YAGO D;17-FLORIAN DELECROIX;NA;NA;NA;81-MIROSLAV KOCIC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;CESSON 004;111.2;111.2;117.7;CESSON;68-QUENTIN EYMANN | 26-ALLAN VILLEMINOT;MB;NA;NA;N;9G;DROITE;NA;NA;NA;NA;1C1;NA;NA;NA;NA;NA;NA;NA;68-QUENTIN EYMANN;26-ALLAN VILLEMINOT;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;CESSON 005;159.7;159.7;176.5;CESSON;26-ALLAN VILLEMINOT | 17-FLORIAN DELECROIX | 81-MIROSLAV KOCIC;AP;5-0;6C5;BUT;9C;EXT;APPUI;BC;AU TRAVERS;1-2 D;2C2;NA;17-FLORIAN DELECROIX;26-ALLAN VILLEMINOT;81-MIROSLAV KOCIC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;SARAN 002;181.9;181.9;222.7;SARAN;4-MATTHIEU DROUHIN | 16-KEVIN BONNEFOI;AP;05-Jan;NA;ARRET;9D;INT;SUSP;NA;NA;2-3 D;1C1;4-MATTHIEU DROUHIN;NA;NA;NA;16-KEVIN BONNEFOI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;CESSON
1;CESSON 006;226.2;226.2;233.4;CESSON;26-ALLAN VILLEMINOT | 17-FLORIAN DELECROIX | 81-MIROSLAV KOCIC;AP;5-0;6C5;BUT;6D;DROITE;SUSP;BC;AU TRAVERS;2-3 G;1C1;NA;17-FLORIAN DELECROIX;26-ALLAN VILLEMINOT;81-MIROSLAV KOCIC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;SARAN 003;240.4;240.4;264.9;SARAN;11-EVRIS MUYEMBO;AP;6-0;NA;PB;11C;NA;NA;NA;NA;2-3 G;2C2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11-EVRIS MUYEMBO;NA;NA;CESSON SARAN;CESSON
1;CESSON 007;265.5;265.5;271.9;CESSON;11-SYLVAIN HOCHET;CA;NA;NA;BUT;6C;NA;APPUI;BC;NA;NA;INDIV;NA;11-SYLVAIN HOCHET;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;SARAN 004;347.1;347.1;362;SARAN;64-HADRIEN RAMOND;AP;6-0;NA;PB;6C;NA;NA;NA;NA;2-3 D;2C2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64-HADRIEN RAMOND;NA;NA;CESSON SARAN;CESSON
1;CESSON 008;364.7;364.7;372.7;CESSON;26-ALLAN VILLEMINOT | 11-SYLVAIN HOCHET | 81-MIROSLAV KOCIC;MB;6-0;NA;BUT;AG;INT;SUSP;MG;AU TRAVERS;2-3 G;1C1;NA;11-SYLVAIN HOCHET;26-ALLAN VILLEMINOT;81-MIROSLAV KOCIC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;SARAN 005;381.8;381.8;422.6;SARAN;81-FREDERIC BEAUREGARD | 68-QUENTIN EYMANN;AP;6-0;NA;PYO;6D;NA;NA;NA;NA;1-2 G;1C1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68-QUENTIN EYMANN;81-FREDERIC BEAUREGARD;CESSON SARAN;CESSON
1;SARAN 006;423.7;423.7;436.2;SARAN;4-MATTHIEU DROUHIN | 16-KEVIN BONNEFOI;PY;NA;NA;BUT;NA;NA;NA;BD;AU TRAVERS;NA;INDIV;NA;4-MATTHIEU DROUHIN;NA;16-KEVIN BONNEFOI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;CESSON
1;CESSON 009;437.3;437.3;475.4;CESSON;81-FREDERIC BEAUREGARD | 81-MIROSLAV KOCIC;AP;6-0;NA;ARRET;9D;EXT;SUSP;MG;NA;3-3 C;X DC ARG;81-FREDERIC BEAUREGARD;NA;NA;NA;81-MIROSLAV KOCIC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;SARAN 007;483.2;483.2;490;SARAN;56-ROMARIC GUILLO | 27-JEAN JACQUES ACQUEVILLO;AP;05-Jan;NA;N;11C;NA;NA;NA;NA;2-3 G;X DC ARG;NA;NA;NA;NA;NA;NA;NA;56-ROMARIC GUILLO;27-JEAN JACQUES ACQUEVILLO;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;CESSON
1;SARAN 008;490.9;490.9;503.1;SARAN;68-QUENTIN EYMANN | 25-CHEMA RODRIGUES | 16-KEVIN BONNEFOI;AP;6-0;NA;BUT;6C;DROITE;SUSP;MD;AU TRAVERS;2-3 D;1C1;NA;25-CHEMA RODRIGUES;68-QUENTIN EYMANN;16-KEVIN BONNEFOI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;CESSON
1;CESSON 010;515.3;515.3;541.6;CESSON;26-ALLAN VILLEMINOT | 81-FREDERIC BEAUREGARD | 81-MIROSLAV KOCIC;AP;6-0;NA;BUT;9G;INT;SUSP;MG;AU LOIN;1-2 G;1C1;NA;81-FREDERIC BEAUREGARD;26-ALLAN VILLEMINOT;81-MIROSLAV KOCIC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;SARAN 009;546.9;546.9;562.8;SARAN;17-FLORIAN DELECROIX | 27-JEAN JACQUES ACQUEVILLO;AP;6-0;NA;N;NA;DROITE;NA;NA;NA;2-3 D;X DC ARD;NA;NA;NA;NA;NA;NA;NA;17-FLORIAN DELECROIX;27-JEAN JACQUES ACQUEVILLO;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;CESSON
1;SARAN 010;565.5;565.5;582.9;SARAN;11-SYLVAIN HOCHET | 68-QUENTIN EYMANN;AP;6-0;NA;N;9D;NA;NA;NA;NA;1-2 D;ENT AD 1-2;NA;NA;NA;NA;NA;NA;NA;11-SYLVAIN HOCHET;68-QUENTIN EYMANN;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;CESSON
1;SARAN 011;584.6;584.6;597.1;SARAN;27-JEAN JACQUES ACQUEVILLO;AP;6-0;NA;TC;9C;NA;SUSP;NA;NA;NA;ENT AD 1-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27-JEAN JACQUES ACQUEVILLO;NA;NA;NA;NA;CESSON SARAN;CESSON
1;CESSON 011;597.8;597.8;603.1;CESSON;11-SYLVAIN HOCHET | 81-MIROSLAV KOCIC;CA;NA;NA;THC;6C;EXT;SUSP;BD;NA;NA;INDIV;NA;NA;NA;NA;NA;81-MIROSLAV KOCIC;11-SYLVAIN HOCHET;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;SARAN
1;SARAN 012;603.9;603.9;620.6;SARAN;56-ROMARIC GUILLO | 68-QUENTIN EYMANN;MB;6-0;NA;N;9C;INT;NA;NA;NA;3-3 C;1C1;NA;NA;NA;NA;NA;NA;NA;56-ROMARIC GUILLO;68-QUENTIN EYMANN;NA;NA;NA;NA;NA;NA;NA;NA;CESSON SARAN;CESSON
